order_id,customer_id,order_date,status,sales_channel
O50605,C1004,2025-07-08,Returned,Direct
O50606,C1006,2025-04-14,Completed,Online
O50607,C1044,2025-06-29,Completed,Online
O50608,C1114,2025-06-14,Completed,Online
O50609,C1005,2025-07-13,Completed,Online
O50610,C1044,2025-05-24,Completed,Online
O50611,C1013,2025-07-15,Completed,Online
O50612,C1111,2025-10-29,Returned,Online
O50613,C1081,2025-06-08,Completed,Online
O50614,C1091,2025-05-12,Completed,Online
O50615,C1085,2025-02-18,Completed,Online
O50616,C1078,2025-05-12,Completed,Online
O50617,C1092,2025-02-15,Completed,Marketplace
O50618,C1000,2025-03-08,Completed,Online
O50619,C1103,2025-12-14,Completed,Online
O50620,C1088,2025-02-02,Cancelled,Online
O50621,C1088,2025-06-25,Completed,Marketplace
O50622,C1047,2025-11-01,Completed,Online
O50623,C1096,2025-12-14,Completed,Marketplace
O50624,C1045,2025-02-23,Completed,Direct
O50625,C1005,2025-03-01,Completed,Online
O50626,C1108,2025-05-16,Returned,Direct
O50627,C1028,2025-07-22,Completed,Marketplace
O50628,C1012,2025-12-17,Completed,Online
O50629,C1074,2025-03-17,Completed,Online
O50630,C1028,2025-03-02,Completed,Marketplace
O50631,C1102,2025-04-03,Completed,Direct
O50632,C1053,2025-11-16,Completed,Online
O50633,C1000,2025-01-11,Completed,Online
O50634,C1114,2025-05-19,Completed,Marketplace
O50635,C1061,2025-02-13,Completed,Online
O50636,C1031,2025-02-27,Completed,Marketplace
O50637,C1081,2025-12-01,Completed,Online
O50638,C1063,2025-01-01,Returned,Marketplace
O50639,C1003,2025-04-28,Completed,Direct
O50640,C1091,2025-12-01,Completed,Marketplace
O50641,C1048,2025-08-10,Completed,Marketplace
O50642,C1083,2025-01-27,Completed,Marketplace
O50643,C1107,2025-06-19,Completed,Direct
O50644,C1073,2025-12-21,Completed,Direct
O50645,C1080,2025-05-27,Completed,Online
O50646,C1030,2025-07-12,Completed,Marketplace
O50647,C1028,2025-07-14,Completed,Online
O50648,C1049,2025-08-30,Completed,Direct
O50649,C1102,2025-03-10,Completed,Marketplace
O50077,C1040,2025-04-29,Completed,Online
